sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MCT1","Alias symbol","MCAT","malonyl-CoA-acyl carrier protein transacylase","HGNC:29622","22q13.2"
"MCT4","Alias symbol","SLC16A4","solute carrier family 16 member 4","HGNC:10925","1p13.3"
"MCT4","Alias symbol","SLC16A3","solute carrier family 16 member 3","HGNC:10924","17q25.3"
"CRAF","Alias symbol","RAF1","Raf-1 proto-oncogene, serine/threonine kinase","HGNC:9829","3p25.2"
"PARP7","Alias symbol","TIPARP","TCDD inducible poly(ADP-ribose) polymerase","HGNC:23696","3q25.31"
"PARP5a","Alias symbol","TNKS","tankyrase","HGNC:11941","8p23.1"
"PB1","Alias symbol","PBRM1","polybromo 1","HGNC:30064","3p21.1"
"PERK","Alias symbol","EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3","HGNC:3255","2p11.2"
"BRPF2","Alias symbol","BRD1","bromodomain containing 1","HGNC:1102","22q13.33"
"BCL-B","Alias symbol","BCL2L10","BCL2 like 10","HGNC:993","15q21.2"
"RSK1","Alias symbol","RPS6KA1","ribosomal protein S6 kinase A1","HGNC:10430","1p36.11"
"RSK3","Alias symbol","RPS6KA2","ribosomal protein S6 kinase A2","HGNC:10431","6q27"
